Données des acheteurs en gros premier trimestre 2023
Département des ventes de fakestoreEnGros
Propriété de fakestoreEnGros
Contacter Jean-Pierre Saint-Jean pour plus d'information à j-p.Saint-jean@fakestorenegros.ca
ID,nom,prenom,prodID1, prodID2, prodID3, prodID4, prodID5, prodID6, prodID7, prodID8, prodID9, prodID10, prodID11, prodID12, prodID13, prodID14, prodID15, prodID16, prodID17, prodID18, prodID19, prodID20
54535,Rousseau,Simone,2,11,7,18,0,2,16,9,10,4,17,11,2,15,5,12,1,16,5,7
91681,Morissette,Élise,16,0,19,15,7,1,13,18,9,0,7,20,9,8,10,14,1,16,20,1
85097,Desrosiers,Lucas,4,0,10,4,4,12,3,3,5,7,13,3,8,11,10,2,1,4,8,12
45930,Beaudoin-Paré,Audrey,2,7,5,3,7,19,16,12,2,16,19,2,18,4,17,11,5,16,17,20
43251,Martel,Charles,18,15,13,11,15,5,1,15,7,18,14,15,20,11,9,1,4,6,7,3
38951,Auger,Laurent-Nicolas,2,17,11,20,5,14,19,15,1,9,16,16,8,2,1,16,2,0,17,8
19484,Chouinard,Gilbert,13,19,9,0,7,14,11,0,15,17,18,11,4,1,20,19,1,0,0,18
45030,Landry,Océane,9,16,2,9,16,14,8,11,2,17,3,0,14,15,18,3,11,6,9,19
73786,Duval,Raymond,16,14,7,10,14,8,19,11,11,12,1,15,12,18,1,7,14,11,12,17
60824,Dubois,Laurie,13,7,0,2,16,13,0,4,16,13,7,17,1,12,0,10,0,1,14,7
62529,Roberge,Alice,20,4,5,18,2,7,12,19,17,17,12,18,8,8,15,19,12,9,17,9
42916,Therrien,Benjamin,10,5,6,11,4,13,1,20,6,10,17,4,2,20,0,7,19,20,8,16
28282,Veilleux,Arthur,17,11,5,5,1,20,0,8,2,17,14,8,4,10,16,16,12,10,20,6
53865,Lacroix,Mathieu,13,20,2,18,1,8,20,0,10,11,15,11,16,3,16,2,2,18,6,10
53027,Béland,Maryse,4,7,2,17,15,9,8,18,4,15,2,19,9,6,19,16,0,19,19,15
43077,Villeneuve,Anaïs-Marie,16,3,9,19,14,1,10,11,12,10,0,11,2,20,2,4,14,17,15,18
35519,Lachance,Vanessa,19,1,4,0,2,15,20,19,10,2,18,0,20,3,16,5,15,7,16,3
58958,Boivin,Louis,16,19,19,6,3,6,6,10,1,16,20,1,17,18,11,3,2,19,4,2
93128,Proulx,Hortense,0,8,13,15,6,13,1,3,10,5,0,6,14,18,3,5,9,14,18,2
34149,Charbonneau-Perreault,Patricia,0,13,5,2,7,10,16,14,16,4,1,18,16,4,12,17,5,13,8,19
47341,Desrochers,Maxime,6,2,2,17,7,5,2,9,13,2,12,1,0,19,0,19,16,4,8,13
53089,Brunet,Alain,14,9,5,7,20,1,3,1,4,1,16,12,7,18,5,11,17,11,16,13
70938,Charron,Dominique,18,15,17,3,11,19,19,3,0,17,18,11,5,2,15,9,9,6,1,7
68849,Gagnon,Daniel,7,6,9,15,19,15,19,1,11,4,2,0,6,10,20,15,12,6,18,4
86565,Bernard,Laurence,11,20,2,5,1,6,11,7,19,7,3,16,13,9,4,16,15,3,7,10
28931,Marchand,Colette,7,16,3,2,16,13,12,16,12,19,13,16,4,6,6,3,4,0,1,2
30160,Bertrand,Astrid-Geneviève,11,11,18,14,14,14,19,13,10,1,9,18,17,1,15,16,7,6,0,8
77642,Drolet,Gabriel,11,0,19,8,16,7,15,10,0,13,2,10,1,6,7,6,15,11,11,8
13504,Martineau,Simone,19,15,3,4,5,2,13,20,18,11,0,6,9,17,17,19,20,17,5,17
40883,Lemieux,Alain,20,14,20,9,2,10,12,16,1,5,14,18,12,4,13,9,17,4,13,5
